,Airport,Passengers,pct_change,,
1,"LONDON, GB (LHR)",6 095 225,1.3,,
2,"DUBAI, AE (DXB)",5 893 428,10.1,,
3,"FRANKFURT, DE (FRA)",5 199 030,6,,
4,"AMSTERDAM, NL (AMS)",5 185 505,5.9,,
5,"HONG KONG, HK (HKG)",5 007 000,5.3,,
6,"PARIS, FR (CDG)",4 575 661,-10.5,,
7,"SINGAPORE, SG (SIN)",4 187 000,-0.4,,
8,"INCHEON, KR (ICN)",3 688 603,9.4,,
9,"ISTANBUL, TR (IST)",3 527 313,13.3,,
10,"LONDON, GB (LGW)",3 514 469,9.1,,
11,"ANTALYA, TR (AYT)",3 118 167,-3.9,,
12,"MUNICH, DE (MUC)",2 965 638,6.1,,
13,"BARCELONA, ES (BCN)",2 836 300,8.1,,
14,"TAIPEI, TW (TPE)",2 800 774,5,,
15,"MADRID, ES (MAD)",2 765 617,9.7,,
16,"BANGKOK, TH (BKK)",2 756 300,-13.2,,
17,"ROME, IT (FCO)",2 727 221,8.8,,
18,"KUALA LUMPUR, MY (KUL)",2 673 623,-1.3,,
19,"PALMA DE MALLORCA, ES (PMI)",2 600 165,0.7,,
20,"NEW YORK NY, US (JFK)",2 446 975,6.1,,
21,"TOKYO, JP (NRT)",2 427 841,-8,,
22,"ZURICH, CH (ZRH)",2 332 844,5,,
23,"BRUSSELS, BE (BRU)",2 216 792,17.9,,
24,"DOHA, QA (DOH)",2 201 271,10,,
25,"COPENHAGEN, DK (CPH)",2 153 042,6.7,,
26,"VIENNA, AT (VIE)",2 123 751,1.8,,
27,"MANCHESTER, GB (MAN)",2 086 088,4.8,,
28,"DUBLIN, IE (DUB)",2 021 049,7.8,,
29,"TORONTO ON, CA (YYZ)",1 889 301,8.1,,
30,"MOSCOW, RU (SVO)",1 800 871,-1.7,,
